ImgCadPRaio   Image
BtnImgCadPRaio              CommandButton
TxBxCodCadPRaio             TextBox
TxBxClienteCadPRaio         TextBox
TxBxIdCadPRaio              TextBox
TxBxFabCadPRaio             TextBox
TxBxTipoCadPRaio            TextBox
TxBxAnoFabCadPRaio          TextBox
TxBxUnomCadPRaio            TextBox
TxBxINDesCadPRaio           TextBox
TxBxHZCadPRaio              TextBox
CBIsolCadPRaio              ComboBox
TxBxSrFaseRCadPRaio         TextBox
TxBxSrFaseSCadPRaio         TextBox
TxBxSrFaseTCadPRaio         TextBox
